name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,u_blanked_rtdp_fluor
4-AMINO-SAL,A10,3,12/7/21,38.0,0.0,500.0,1.0,1.0,-1.0,0.0
4-AMINO-SAL,A11,3,12/7/21,42.0,0.0,500.0,1.0,2.0,-1.0,0.0
4-AMINO-SAL,A12,3,12/7/21,46.0,0.3333333333333333,500.0,1.0,3.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,B10,3,12/7/21,86.0,0.3333333333333333,250.0,2.0,1.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,B11,3,12/7/21,90.0,0.0,250.0,2.0,2.0,-1.0,0.0
4-AMINO-SAL,B12,3,12/7/21,94.0,0.0,250.0,2.0,3.0,-1.0,0.0
4-AMINO-SAL,C10,3,12/7/21,134.0,0.0,125.0,4.0,1.0,-1.0,0.0
4-AMINO-SAL,C11,3,12/7/21,138.0,0.0,125.0,4.0,2.0,-1.0,0.0
4-AMINO-SAL,C12,3,12/7/21,142.0,0.0,125.0,4.0,3.0,-1.0,0.0
4-AMINO-SAL,D10,3,12/7/21,182.0,0.0,62.5,8.0,1.0,-1.0,0.0
4-AMINO-SAL,D11,3,12/7/21,186.0,0.0,62.5,8.0,2.0,-1.0,0.0
4-AMINO-SAL,D12,3,12/7/21,190.0,0.0,62.5,8.0,3.0,-1.0,0.0
4-AMINO-SAL,E10,3,12/7/21,230.0,0.0,31.25,16.0,1.0,-1.0,0.0
4-AMINO-SAL,E11,3,12/7/21,234.0,0.0,31.25,16.0,2.0,-1.0,0.0
4-AMINO-SAL,E12,3,12/7/21,238.0,0.3333333333333333,31.25,16.0,3.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,F10,3,12/7/21,278.0,0.3333333333333333,15.625,32.0,1.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,F11,3,12/7/21,282.0,0.0,15.625,32.0,2.0,-1.0,0.0
4-AMINO-SAL,F12,3,12/7/21,286.0,0.0,15.625,32.0,3.0,-1.0,0.0
4-AMINO-SAL,G10,3,12/7/21,326.0,0.3333333333333333,7.8125,64.0,1.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,G11,3,12/7/21,330.0,0.6666666666666666,7.8125,64.0,2.0,-0.3333333333333333,0.5773502691896258
4-AMINO-SAL,G12,3,12/7/21,334.0,0.6666666666666666,7.8125,64.0,3.0,-0.3333333333333333,0.5773502691896258
4-AMINO-SAL,H10,3,12/7/21,374.0,0.3333333333333333,3.90625,128.0,1.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,H11,3,12/7/21,378.0,0.3333333333333333,3.90625,128.0,2.0,-0.6666666666666666,0.5773502691896258
4-AMINO-SAL,H12,3,12/7/21,382.0,0.0,3.90625,128.0,3.0,-1.0,0.0
ACETATE,A4,3,12/7/21,14.0,0.0,10000.0,1.0,1.0,-1.0,0.0
ACETATE,A5,3,12/7/21,18.0,0.0,10000.0,1.0,2.0,-1.0,0.0
ACETATE,A6,3,12/7/21,22.0,0.0,10000.0,1.0,3.0,-1.0,0.0
ACETATE,B4,3,12/7/21,62.0,0.0,5000.0,2.0,1.0,-1.0,0.0
ACETATE,B5,3,12/7/21,66.0,0.0,5000.0,2.0,2.0,-1.0,0.0
ACETATE,B6,3,12/7/21,70.0,0.0,5000.0,2.0,3.0,-1.0,0.0
ACETATE,C4,3,12/7/21,110.0,0.0,2500.0,4.0,1.0,-1.0,0.0
ACETATE,C5,3,12/7/21,114.0,0.0,2500.0,4.0,2.0,-1.0,0.0
ACETATE,C6,3,12/7/21,118.0,0.0,2500.0,4.0,3.0,-1.0,0.0
ACETATE,D4,3,12/7/21,158.0,0.3333333333333333,1250.0,8.0,1.0,-0.6666666666666666,0.5773502691896258
ACETATE,D5,3,12/7/21,162.0,0.0,1250.0,8.0,2.0,-1.0,0.0
ACETATE,D6,3,12/7/21,166.0,0.0,1250.0,8.0,3.0,-1.0,0.0
ACETATE,E4,3,12/7/21,206.0,0.0,625.0,16.0,1.0,-1.0,0.0
ACETATE,E5,3,12/7/21,210.0,0.0,625.0,16.0,2.0,-1.0,0.0
ACETATE,E6,3,12/7/21,214.0,0.0,625.0,16.0,3.0,-1.0,0.0
ACETATE,F4,3,12/7/21,254.0,0.0,312.5,32.0,1.0,-1.0,0.0
ACETATE,F5,3,12/7/21,258.0,0.0,312.5,32.0,2.0,-1.0,0.0
ACETATE,F6,3,12/7/21,262.0,0.0,312.5,32.0,3.0,-1.0,0.0
ACETATE,G4,3,12/7/21,302.0,0.0,156.25,64.0,1.0,-1.0,0.0
ACETATE,G5,3,12/7/21,306.0,0.3333333333333333,156.25,64.0,2.0,-0.6666666666666666,0.5773502691896258
ACETATE,G6,3,12/7/21,310.0,0.3333333333333333,156.25,64.0,3.0,-0.6666666666666666,0.5773502691896258
ACETATE,H4,3,12/7/21,350.0,0.3333333333333333,78.125,128.0,1.0,-0.6666666666666666,0.5773502691896258
ACETATE,H5,3,12/7/21,354.0,0.3333333333333333,78.125,128.0,2.0,-0.6666666666666666,0.5773502691896258
ACETATE,H6,3,12/7/21,358.0,0.3333333333333333,78.125,128.0,3.0,-0.6666666666666666,0.5773502691896258
AQDS,A7,1,11/23/21,26.0,1.6666666666666667,500.0,1.0,1.0,0.6805555555555555,0.6009252125773317
AQDS,A8,1,11/23/21,30.0,1.6666666666666667,500.0,1.0,2.0,0.6805555555555555,0.6009252125773317
AQDS,A9,1,11/23/21,34.0,2.0,500.0,1.0,3.0,1.0138888888888888,0.16666666666666666
